Row,Fullness 120,Fullness 100,Fullness 80,Fullness 60,Number of snaps,Tape Length,Panel stackback
1,15.00,17.00,19.00,21.00,8,32.5,8.75
2,18.75,21.25,23.75,26.25,10,41.0,10.00
3,22. 50,25.50,28. 50,31.50,12,49.5,11.00
4,26. 25,29.75,33. 25,36.75,14,58.0,12.00
5,30.00,34.00,38.00,42.00,16,66.5,13.25
6,33.75,38.25,42.75,47.25,18,75.0,14.25
7,37. 50,42.50,47.50,52.50,20,83.5,15.25
8,41. 25,46.75,52. 25,57.75,22,92.0,16.50
9,45.00,51.00,57.0 0,63.00,24,100.5,17.50
10,48.75,55.25,61.75,68.25,26,109.0,18.50
11,52. 50,59.50,66. 50,73.50,28,117.5,19.75
12,56. 25,63.75,71. 25,78.75,30,126.0,20.75
13,60.00,68.00,76.00,84.00,32,134.5,21.75
14,63.75,72.25,80.75,89.25,34,143.0,23.00
15,67. 50,76.50,85.50,94.50,36,151.5,24.00
16,71. 25,80.75,90. 25,99.75,38,160.0,25.00
17,75.00,85.00,95.00,105.00,40,168.5,26.25
18,78.75,89.25,99.75,110.25,42,177.0,27.25
19,82. 50,93.50,104. 50,115.50,44,185.5,28.25
20,86. 25,97.75,109. 25,120.75,46,194.0,29.50
21,90.00,102.00,114.00,126.00,48,202.5,30.50
22,93.75,106.25,118.75,131.25,50,211.0,31.50
23,97. 50,110.50,123. 50,136.50,52,219.5,32.50
24,101. 25,114.75,128. 25,141.75,54,228.0,33.75
25,105.00,119.00,133.00,147.00,56,236.5,34.75
26,108.75,123.25,137.75,152.25,58,245.0,35.75
27,112. 50,127.50,142. 50,157.50,60,253.5,37.00
28,116. 25,131.75,147. 25,162.75,62,262.0,38.00
29,120.00,136.00,152.00,168.00,64,270.5,39.00
30,123.75,140.25,156.75,173.25,66,279.0,40.25
31,127. 50,144.50,161. 50,178.50,68,287.5,41.25
32,131. 25,148.75,166. 25,183.75,70,296.0,42.25
33,135.00,153.00,171.00,189.00,72,304.5,43.50
34,138.75,157.25,175.75,194.25,74,313.0,44.50
35,142. 50,161.50,180. 50,199.50,76,321.5,45.50
36,146. 25,165.75,185. 25,204.75,78,330.0,46.75
37,150.00,170.00,190.00,210.00,80,338.5,47.75
38,153.75,174.25,194.75,215.25,82,347.0,48.75
39,157. 50,178.50,199. 50,220.50,84,355.5,50.00
40,161. 25,182.75,204. 25,225.75,86,364.0,51.00
41,165.00,187.00,209.00,231.00,88,372.5,52.00
42,168.75,191.25,213.75,236.25,90,381.0,53.25
43,172. 50,195.50,218.50,241.50,92,389.5,54.25
44,176. 25,199.75,223. 25,246.75,94,398.0,55.25
45,180.00,204.00,228.00,252.00,96,406.5,56.25
46,183.75,208.25,232.75,257.25,98,415.0,57.50
47,187. 50,212.50,237. 50,262.50,100,423.5,58.50
48,191. 25,216.75,242. 25,267.75,102,432.0,59.50
49,195.00,221.00,247.0 0,273.00,104,440.5,60.75
50,198.75,225.25,251.75,278.25,106,449.0,61.75
51,202. 50,229.50,256.50,283.50,108,457.5,62.75
52,206. 25,233.75,261. 25,288.75,110,466.0,64.00
53,210.00,238.00,266.00,294.00,112,474.5,65.00
54,213.75,242.25,270.75,299.25,114,483.0,66.00
55,217. 50,246.50,275. 50,304.50,116,491.5,67.25
56,221. 25,250.75,280. 25,309.75,118,500.0,68.25
57,225.00,255.00,285.00,315.00,120,508.5,69.25
58,228.75,259.25,289.75,320.25,122,517.0,70.50
59,232. 50,263.50,294. 50,325.50,124,525.5,71.50
60,236. 25,267.75,299. 25,330.75,126,534.0,72.50
61,240.00,272.00,304.00,336.00,128,542.5,73.75
62,243.75,276.25,308.75,341.25,130,551.0,74.75
63,247. 50,280.50,313. 50,346.50,132,559.5,75.75
64,251. 25,284.75,318. 25,351.75,134,568.0,77.00
65,255.00,289.00,323.00,357.00,136,576.5,78.00
66,258.75,293.25,327.75,362.25,138,585.0,79.00
67,262. 50,297.50,332. 50,367.50,140,593.5,80.00
68,266. 25,301.75,337. 25,372.75,142,602.0,81.25
69,270.00,306.00,342.00,378.00,144,610.5,82.25
70,273.75,310.25,346.75,383.25,146,619.0,83.25
71,277. 50,314.50,351. 50,388.50,148,627.5,84.50
72,281. 25,318.75,356. 25,393.75,150,636.0,85.50
