Row,Fullness 120,Fullness 100,Fullness 80,Fullness 60,Number of snaps,Tape Length,Panel stackback
1,15,17,19,21,8,34,10.75
2,18.75,21.25,23.75,26.25,10,42.5,12
3,22. 50,25.5,28. 50,31.5,12,51,13
4,26. 25,29.75,33. 25,36.75,14,59.5,14
5,30,34,38,42,16,68,15.25
6,33.75,38.25,42.75,47.25,18,76.5,16.25
7,37. 50,42.5,47.5,52.5,20,85,17.25
8,41. 25,46.75,52. 25,57.75,22,93.5,18.5
9,45,51,57.0 0,63,24,102,19.5
10,48.75,55.25,61.75,68.25,26,110.5,20.5
11,52. 50,59.5,66. 50,73.5,28,119,21.75
12,56. 25,63.75,71. 25,78.75,30,127.5,22.75
13,60,68,76,84,32,136,23.75
14,63.75,72.25,80.75,89.25,34,144.5,25
15,67. 50,76.5,85.5,94.5,36,153,26
16,71. 25,80.75,90. 25,99.75,38,161.5,27
17,75,85,95,105,40,170,28.25
18,78.75,89.25,99.75,110.25,42,178.5,29.25
19,82. 50,93.5,104. 50,115.5,44,187,30.25
20,86. 25,97.75,109. 25,120.75,46,195.5,31.5
21,90,102,114,126,48,204,32.5
22,93.75,106.25,118.75,131.25,50,212.5,33.5
23,97. 50,110.5,123. 50,136.5,52,221,34.5
24,101. 25,114.75,128. 25,141.75,54,229.5,35.75
25,105,119,133,147,56,238,36.75
26,108.75,123.25,137.75,152.25,58,246.5,37.75
27,112. 50,127.5,142. 50,157.5,60,255,39
28,116. 25,131.75,147. 25,162.75,62,263.5,40
29,120,136,152,168,64,272,41
30,123.75,140.25,156.75,173.25,66,280.5,42.25
31,127. 50,144.5,161. 50,178.5,68,289,43.25
32,131. 25,148.75,166. 25,183.75,70,297.5,44.25
33,135,153,171,189,72,306,45.5
34,138.75,157.25,175.75,194.25,74,314.5,46.5
35,142. 50,161.5,180. 50,199.5,76,323,47.5
36,146. 25,165.75,185. 25,204.75,78,331.5,48.75
37,150,170,190,210,80,340,49.75
38,153.75,174.25,194.75,215.25,82,348.5,50.75
39,157. 50,178.5,199. 50,220.5,84,357,52
40,161. 25,182.75,204. 25,225.75,86,365.5,53
41,165,187,209,231,88,374,54
42,168.75,191.25,213.75,236.25,90,382.5,55.25
43,172. 50,195.5,218.5,241.5,92,391,56.25
44,176. 25,199.75,223. 25,246.75,94,399.5,57.25
45,180,204,228,252,96,408,58.25
46,183.75,208.25,232.75,257.25,98,416.5,59.5
47,187. 50,212.5,237. 50,262.5,100,425,60.5
48,191. 25,216.75,242. 25,267.75,102,433.5,61.5
49,195,221,247.0 0,273,104,442,62.75
50,198.75,225.25,251.75,278.25,106,450.5,63.75
51,202. 50,229.5,256.5,283.5,108,459,64.75
52,206. 25,233.75,261. 25,288.75,110,467.5,66
53,210,238,266,294,112,476,67
54,213.75,242.25,270.75,299.25,114,484.5,68
55,217. 50,246.5,275. 50,304.5,116,493,69.25
56,221. 25,250.75,280. 25,309.75,118,501.5,70.25
57,225,255,285,315,120,510,71.25
58,228.75,259.25,289.75,320.25,122,518.5,72.5
59,232. 50,263.5,294. 50,325.5,124,527,73.5
60,236. 25,267.75,299. 25,330.75,126,535.5,74.5
61,240,272,304,336,128,544,75.75
62,243.75,276.25,308.75,341.25,130,552.5,76.75
63,247. 50,280.5,313. 50,346.5,132,561,77.75
64,251. 25,284.75,318. 25,351.75,134,569.5,79
65,255,289,323,357,136,578,80
66,258.75,293.25,327.75,362.25,138,586.5,81
67,262. 50,297.5,332. 50,367.5,140,595,82
68,266. 25,301.75,337. 25,372.75,142,603.5,83.25
69,270,306,342,378,144,612,84.25
70,273.75,310.25,346.75,383.25,146,620.5,85.25
71,277. 50,314.5,351. 50,388.5,148,629,86.5
72,281. 25,318.75,356. 25,393.75,150,637.5,87.5
